Epoch: 55 | mean loss: -1708.36829 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 56 | mean loss: -1731.16711 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 57 | mean loss: -1757.12634 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 58 | mean loss: -1795.38757 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 59 | mean loss: -1826.99329 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 60 | mean loss: -1861.50757 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 61 | mean loss: -1888.98303 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 62 | mean loss: -1930.96375 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 63 | mean loss: -1973.78577 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 64 | mean loss: -1973.46033 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 65 | mean loss: -2028.44885 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 66 | mean loss: -2058.48755 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 67 | mean loss: -2004.20654 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 68 | mean loss: -2118.40430 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 69 | mean loss: -2127.39282 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 70 | mean loss: -2196.34106 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 71 | mean loss: -2205.54932 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 72 | mean loss: -2255.41772 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 73 | mean loss: -2273.15527 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 74 | mean loss: -2312.94336 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 75 | mean loss: -2346.47510 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 76 | mean loss: -2375.08057 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 77 | mean loss: -2415.82935 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 78 | mean loss: -2441.48608 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 79 | mean loss: -2436.20190 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 80 | mean loss: -2509.96558 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 81 | mean loss: -2502.71997 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 82 | mean loss: -2563.11694 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 83 | mean loss: -2588.70264 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 84 | mean loss: -2624.77100 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 85 | mean loss: -2667.36060 | total acc: 0.09091 | total recall: 0.00333 | total f1 scroe: 0.00643
