Epoch: 55 | mean loss: -1739.83545 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 56 | mean loss: -1766.01880 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 57 | mean loss: -1806.56238 | total acc: 0.03030 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 58 | mean loss: -1837.45386 | total acc: 0.07143 | total recall: 0.00240 | total f1 scroe: 0.00465
Epoch: 59 | mean loss: -1875.57434 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 60 | mean loss: -1900.29236 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 61 | mean loss: -1936.00220 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 62 | mean loss: -1971.43799 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 63 | mean loss: -2005.42078 | total acc: 0.08333 | total recall: 0.00160 | total f1 scroe: 0.00315
Epoch: 64 | mean loss: -2038.38000 | total acc: 0.03846 | total recall: 0.00080 | total f1 scroe: 0.00157
Epoch: 65 | mean loss: -2063.08203 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 66 | mean loss: -2094.88794 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 67 | mean loss: -2122.63794 | total acc: 0.02778 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 68 | mean loss: -2132.23779 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 69 | mean loss: -2190.05420 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 70 | mean loss: -2233.23047 | total acc: 0.10256 | total recall: 0.00321 | total f1 scroe: 0.00622
Epoch: 71 | mean loss: -2265.74097 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 72 | mean loss: -2291.96582 | total acc: 0.04167 | total recall: 0.00080 | total f1 scroe: 0.00157
Epoch: 73 | mean loss: -2339.60376 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 74 | mean loss: -2354.37891 | total acc: 0.02778 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 75 | mean loss: -2391.40845 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 76 | mean loss: -2427.11670 | total acc: 0.03125 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 77 | mean loss: -2449.73877 | total acc: 0.02564 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 78 | mean loss: -2482.55859 | total acc: 0.03390 | total recall: 0.00160 | total f1 scroe: 0.00306
Epoch: 79 | mean loss: -2507.41797 | total acc: 0.02703 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 80 | mean loss: -2551.89917 | total acc: 0.02564 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 81 | mean loss: -2568.41406 | total acc: 0.02083 | total recall: 0.00080 | total f1 scroe: 0.00154
Epoch: 82 | mean loss: -2619.51880 | total acc: 0.02941 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 83 | mean loss: -2649.06641 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 84 | mean loss: -2682.38306 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 85 | mean loss: -2716.60645 | total acc: 0.03448 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 86 | mean loss: -2726.22412 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 87 | mean loss: -2774.91064 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 88 | mean loss: -2810.24634 | total acc: 0.02632 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 89 | mean loss: -2843.29858 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 90 | mean loss: -2883.02393 | total acc: 0.03571 | total recall: 0.00080 | total f1 scroe: 0.00157
Epoch: 91 | mean loss: -2908.10107 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 92 | mean loss: -2951.94238 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 93 | mean loss: -2981.18994 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 94 | mean loss: -3012.97559 | total acc: 0.06061 | total recall: 0.00160 | total f1 scroe: 0.00312
Epoch: 95 | mean loss: -3043.60425 | total acc: 0.04651 | total recall: 0.00160 | total f1 scroe: 0.00310
Epoch: 96 | mean loss: -3074.42212 | total acc: 0.02564 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 97 | mean loss: -3106.36011 | total acc: 0.05769 | total recall: 0.00240 | total f1 scroe: 0.00461
Epoch: 98 | mean loss: -3131.69067 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 99 | mean loss: -3172.33228 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 100 | mean loss: -3211.55933 | total acc: 0.05405 | total recall: 0.00160 | total f1 scroe: 0.00311
Epoch: 101 | mean loss: -3226.92749 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 102 | mean loss: -3270.30811 | total acc: 0.04348 | total recall: 0.00160 | total f1 scroe: 0.00309
Epoch: 103 | mean loss: -3292.20728 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 104 | mean loss: -3323.13477 | total acc: 0.02222 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 105 | mean loss: -3368.47607 | total acc: 0.03030 | total recall: 0.00080 | total f1 scroe: 0.00156
